year,quarter,dp,ypl,gnpg,vwretx,ewretx,D12,tb30,AAA,BAA,Rfree,CRSP_SPvwx,def,term,mktrf
1947.0,1.0,0.009493424,-0.20684479,,-0.020805,-0.034586,0.72,0.0038,0.0255,0.0315,0.0003,-0.017731,0.006,0.0175,-0.0167
1947.0,2.0,0.010966904,-0.19496523,0.011893363,0.048538,0.051363,0.76,0.0038,0.0255,0.0321,0.0003,0.050908,0.0066,0.0178,0.0529
1947.0,3.0,0.010984324,-0.19054212,0.014677458,-0.009473,0.000238,0.79,0.008,0.0261,0.0323,0.0006,-0.01369,0.0062,0.0133,-0.0054
1947.0,4.0,0.011770944,-0.1891284,0.040126722,0.023249,0.013311,0.84,0.0095,0.0286,0.0352,0.0008,0.025273,0.0066,0.0148,0.03
1948.0,1.0,0.011496227,-0.15893231,0.023299085,0.076865,0.08961,0.85,0.01,0.0283,0.0353,0.0009,0.077022,0.007,0.0141,0.0807
1948.0,2.0,0.013324244,-0.12975895,0.025549294,-0.005419,-0.018277,0.85,0.01,0.0276,0.0334,0.0009,0.003687,0.0058,0.0138,-0.001
1948.0,3.0,0.0135289775,-0.06949438,0.023915676,-0.035123,-0.048793,0.87,0.0109,0.0284,0.0345,0.0004,-0.031159,0.0061,0.0133,-0.0297
1948.0,4.0,0.013070958,0.08863368,0.0041172933,0.024024,0.001728,0.93,0.0116,0.0279,0.0353,0.0004,0.029719,0.0074,0.0121,0.0326
1949.0,1.0,0.0134636955,0.19557676,-0.019407412,0.035339,0.052517,0.98,0.0117,0.027,0.0347,0.001,0.029349,0.0077,0.011,0.0404
1949.0,2.0,0.01473995,0.20517433,-0.013622577,-0.004382,-0.014373,1.02,0.0117,0.0271,0.0347,0.001,-0.003269,0.0076,0.01,0.001
1949.0,3.0,0.0147521775,0.14754726,0.0054202066,0.027265,0.037579,1.04,0.0107,0.026,0.0337,0.0009,0.024293,0.0077,0.0105,0.0309
1949.0,4.0,0.014927167,0.0585559,-0.008799766,0.044769,0.060479,1.14,0.011,0.0258,0.0331,0.0009,0.046034,0.0073,0.0099,0.0513
1950.0,1.0,0.014709998,0.0053299433,0.037186272,0.007457,-0.007428,1.17,0.0112,0.0258,0.0324,0.001,0.003542,0.0066,0.0103,0.0126
1950.0,2.0,0.013312341,0.032728534,0.033616833,-0.062799,-0.081388,1.2,0.0115,0.0262,0.0328,0.001,-0.057849,0.0066,0.0101,-0.0594
1950.0,3.0,0.014529494,0.11270031,0.06007537,0.044122,0.049011,1.33,0.013,0.0264,0.0321,0.001,0.05651,0.0057,0.009,0.0481
1950.0,4.0,0.0147838,0.18805225,0.037367612,0.051048,0.074591,1.47,0.0134,0.0267,0.032,0.0011,0.051025,0.0053,0.009,0.0554
